Date,Open,High,Low,Close,Volume
2017-05-03,24.620001,24.620001,24.620001,24.620001,200
2017-05-04,24.945999,24.945999,24.528,24.528,1100
2017-05-05,25,25.346001,24.959999,25.346001,9800
2017-05-08,25.75,25.75,25.15,25.26,4700
2017-05-09,25.74,25.74,25.34,25.344999,3600
2017-05-10,25.67,25.67,24.629999,24.940001,4000
2017-05-11,24.280001,25.07,24.280001,24.99,2300
2017-05-12,25.09,25.09,24.65,24.690001,5200
2017-05-15,25,25,25,25,900
2017-05-16,25.35,25.35,25.129999,25.129999,1200
2017-05-17,24.48,24.48,23.790001,23.790001,5100
2017-05-18,23.028999,23.93,23.028999,23.66,2400
2017-05-19,24,24.950001,24,24.705999,13400
2017-05-22,26.65,26.724001,25.268,25.375,54100
2017-05-23,25.549999,25.85,25.16,25.700001,101200
2017-05-24,26.32,26.540001,25.990999,26.27,30500
2017-05-25,26.799999,27.01,26.49,27.01,36400
2017-05-26,27,27.107,26.799999,26.969999,29600
2017-05-30,26.809999,26.969999,26.370001,26.518,17200
2017-05-31,26.84,27.1,26.15,27.1,27900
2017-06-01,27.469999,27.48,26.809999,27.389999,14900
2017-06-02,28.01,28.408001,27.559,28,20400
2017-06-05,28.129999,28.219999,27.07,27.129999,25100
2017-06-06,26.65,26.83,26.195,26.450001,13900
2017-06-07,26.360001,26.469999,26.129999,26.360001,14000
2017-06-08,26.01,27.15,26.01,26.969999,15500
2017-06-09,27.280001,28.23,26.76,27.02,10900
2017-06-12,27.85,27.85,26.200001,26.549999,14800
2017-06-13,26.26,27.219,26.26,27.09,5400
2017-06-14,27.459999,27.5,27.02,27.16,8100
2017-06-15,27.110001,27.309999,26.823,27.268999,4000
2017-06-16,27.360001,27.59,27.309999,27.309999,2600
2017-06-19,27.75,27.964001,27.546,27.860001,22300
2017-06-20,28.18,28.18,27.190001,27.190001,25000
2017-06-21,27,27.52,26.702999,26.809999,14200
2017-06-22,26.76,26.806999,26.549999,26.549999,12000
2017-06-23,26.209999,27,26.049,26.459999,38700
2017-06-26,26.83,27.114,26.299999,26.309999,20900
2017-06-27,26.26,26.370001,25.75,25.76,15200
2017-06-28,25.76,27,25.76,26.979,6700
2017-06-29,26.997,26.997,25.75,26.273001,11300
2017-06-30,26.51,27.011,26.459999,26.82,6900
2017-07-03,27.25,27.540001,27.235001,27.412001,10200
2017-07-05,27.57,28.200001,27.42,28.17,32800
2017-07-06,27.83,28.139999,27.389999,27.4,20000
2017-07-07,27.860001,28.559999,27.663,28.344999,14100
2017-07-10,28.620001,28.972,28.233,28.57,10600
2017-07-11,28.620001,29.030001,28.25,29.018,17700
2017-07-12,29.35,29.879999,29.309999,29.35,26000
2017-07-13,29.295,29.5,28.84,29.1,12500
2017-07-14,29.58,29.879999,29.496,29.82,20700
2017-07-17,30,30.110001,29.5,29.85,22300
2017-07-18,30.07,30.07,29.43,29.450001,9300
2017-07-19,29.721001,30.15,29.721001,30.040001,19500
2017-07-20,30.65,30.65,30.02,30.02,34900
2017-07-21,30,30.280001,29.742001,30.280001,15300
2017-07-24,30.27,30.495001,30.17,30.469999,15200
2017-07-25,31,31.370001,30.259001,30.459999,19200
2017-07-26,30.85,31.5,30.309999,30.51,12800
2017-07-27,30.826,30.826,29.801001,30.165001,15300
2017-07-28,30.231001,31.200001,30.231001,31.200001,16400
2017-07-31,31.440001,31.448999,30.551001,30.75,16000
2017-08-01,31.5,31.5,30.650999,30.858999,19600
2017-08-02,30.780001,31.579,30.780001,31.525,18900
2017-08-03,31.75,32.310001,31.280001,32.310001,28600
2017-08-04,33.869999,33.869999,31.940001,32.330002,37500
2017-08-07,32.5,32.900002,32.439999,32.720001,34600
2017-08-08,32.93,33.685001,32.589001,32.639999,59300
2017-08-09,33.450001,33.450001,32.486,32.689999,73900
2017-08-10,32.919998,32.919998,31.639999,31.639999,77000
2017-08-11,31.83,32.5,31.700001,32.09,43200
2017-08-14,32.610001,33.02,32.330002,32.959999,64600
2017-08-15,33.5,33.5,32.388,32.48,51000
2017-08-16,32.612,32.849998,32.368,32.400002,30600
2017-08-17,32.310001,32.310001,31.07,31.07,46400
2017-08-18,31,31.274,30.504,30.92,41600
2017-08-21,30.92,31.243,30.556999,31.041,20100
2017-08-22,31.450001,32.23,31.450001,32.18,64300
2017-08-23,31.879999,32.139999,31.632999,31.632999,13800
2017-08-24,31.74,32.209999,31.610001,31.85,14000
2017-08-25,32.279999,32.279999,31.719999,31.77,9900
2017-08-28,31.9,31.91,31.549999,31.549999,8700
2017-08-29,32.209999,32.889999,31.799999,32.875,44800
2017-08-30,33.18,33.437,33.036999,33.259998,49100
2017-08-31,33.299999,34,33.299999,33.912998,32300
2017-09-01,34.639999,34.880001,33.827999,33.84,36700
2017-09-05,34.450001,34.450001,32.627998,32.766998,81900
2017-09-06,32.959999,32.959999,32,32.009998,34900
2017-09-07,32,32.249001,31.559999,32.206001,66000
2017-09-08,32.290001,32.490002,31.816,32.25,17700
2017-09-11,32.43,33.102001,32.43,32.93,29900
2017-09-12,33.09,33.189999,32.860001,33.029999,39000
2017-09-13,33,33.119999,32.52,32.84,11800
2017-09-14,32.68,33.299999,32.59,33.242001,22900
2017-09-15,33.34,33.900002,33.248001,33.869999,26100
2017-09-18,34.240002,35.799999,34.198002,35.77,59500
2017-09-19,35.84,36.66,35.57,36.650002,88000
2017-09-20,36.75,37.431999,36.549999,37.299999,94800
2017-09-21,37.299999,37.869999,37.240002,37.790001,99800
2017-09-22,38.189999,38.654999,38,38.16,115100
2017-09-25,38.389999,39.75,36.970001,37.560001,101100
2017-09-26,37.869999,38.740002,37.618,38.470001,64300
2017-09-27,38.470001,39.25,38.273998,39.130001,59400
2017-09-28,39.349998,39.349998,38.27,38.299999,67000
2017-09-29,38.299999,38.650002,38.02,38.650002,46600
2017-10-02,38.98,40.110001,38.98,40.110001,65700
2017-10-03,40.369999,40.525002,39.860001,40.27,79600
2017-10-04,40.41,40.548,40.259998,40.529999,46800
2017-10-05,40.66,41.610001,40.581001,41.328999,73000
2017-10-06,41.349998,41.349998,40.847,41.23,46600
2017-10-09,41.540001,41.669998,41.299999,41.490002,65500
2017-10-10,41.860001,41.860001,41.139999,41.360001,68600
2017-10-11,41.450001,41.5,40.901001,41.07,46000
2017-10-12,40.900002,41.889999,40.900002,41.75,47800
2017-10-13,42.119999,42.240002,41.279999,41.303001,52900
2017-10-16,41.330002,41.66,41,41.299999,50800
2017-10-17,41.09,41.167,40.580002,40.77,59400
2017-10-18,40.59,41.099998,40.380001,40.93,50400
2017-10-19,40.75,40.988998,39.630001,40.919998,42400
2017-10-20,41.200001,42.5,41.200001,42.5,78900
2017-10-23,42.869999,42.869999,41.637001,41.68,60000
2017-10-24,41.57,42.150002,41.16,41.860001,43000
2017-10-25,41.82,42.011002,40.549999,41.419998,70900
2017-10-26,41.450001,41.758999,39.759998,40.43,87600
2017-10-27,40.529999,40.529999,39.910999,40.110001,66000
2017-10-30,40,40.578999,39.860001,39.93,39600
2017-10-31,40.529999,40.700001,40,40,33300
2017-11-01,40.240002,40.5,39.799999,40,31400
2017-11-02,40.25,42.241001,40.220001,42.09,65800
2017-11-03,42.59,42.59,40.722,41.049999,56400
2017-11-06,41.119999,41.66,41.119999,41.330002,54300
2017-11-07,41.75,41.990002,40.98,41.299999,63200
2017-11-08,41.790001,41.799,41.160999,41.66,32700
2017-11-09,41.349998,41.349998,39.330002,39.810001,99900
2017-11-10,39.75,39.75,38.880001,39.099998,42400
2017-11-13,39.099998,39.099998,38.009998,38.52,74400
2017-11-14,38.330002,38.784,37.959999,38.639999,49400
2017-11-15,38.25,38.57,37.759998,37.959999,48800
2017-11-16,38.327999,39.111,38.327999,38.91,36600
2017-11-17,38.790001,39.540001,38.209999,38.209999,28500
2017-11-20,38.049999,39.290001,38,39.27,29000
2017-11-21,39.700001,40.52,39.700001,40.509998,59300
2017-11-22,40.990002,40.990002,39.93,40.02,24200
2017-11-24,40.150002,40.360001,40.02,40.25,16500
2017-11-27,40.200001,40.48,39.970001,40.400002,37700
2017-11-28,40.5,41.990002,40.380001,41.939999,49300
2017-11-29,42.189999,42.348999,41.66,41.900002,60600
2017-11-30,42,43.648998,41.931999,43.529999,77800
2017-12-01,42.779999,43.599998,39.700001,41.5,101000
2017-12-04,43.369999,43.369999,41.509998,41.560001,72000
2017-12-05,41.5,41.790001,40.459999,40.580002,50600
2017-12-06,40.580002,42,40,41.48,49700
2017-12-07,41.939999,42.757999,41.793999,42.509998,40200
2017-12-08,43,43.099998,42.23,42.619999,38000
2017-12-11,42.779999,43.029999,41.719002,41.719002,30500
2017-12-12,41.799999,42.720001,41.799999,42.262001,22500
2017-12-13,41.240002,43,41.139999,42.299999,40100
2017-12-14,42.990002,43.118,42,42.009998,42200
2017-12-15,42.560001,44.451,41.810001,44.008999,101800
2017-12-18,44.990002,45,44.049999,44.459999,78700
2017-12-19,45.029999,45.029999,43.98,44.02,41000
2017-12-20,45,45.02,44.283001,44.380001,36600
2017-12-21,45.02,45.02,44.169998,44.470001,47800
2017-12-22,44.669998,44.669998,43.831001,44.23,24700
2017-12-26,44.700001,44.999001,44.245998,44.400002,32800
2017-12-27,44.779999,44.779999,44.223,44.599998,31700
2017-12-28,44.75,45.285,44.619999,45.169998,31600
2017-12-29,45.57,45.830002,44.5,44.5,65300
2018-01-02,45.279999,45.279999,44.049999,44.5,57900
2018-01-03,44.549999,44.900002,44.279999,44.75,36700
2018-01-04,45.279999,45.821999,45.009998,45.810001,57700
2018-01-05,46.200001,47.040001,45.98,47.040001,65700
2018-01-08,47.34,48.150002,46.91,47.860001,119400
2018-01-09,48.209999,49.040001,48.099998,48.689999,91300
2018-01-10,48.599998,48.689999,47.610001,48.529999,66500
2018-01-11,49.57,49.98,48.860001,49.970001,142400
2018-01-12,50.759998,52.48,50.575001,52.389999,182300
2018-01-16,53.91,54.860001,50.205002,50.439999,285900
2018-01-17,50.75,52.400002,50.75,52.369999,163300
2018-01-18,52.450001,52.450001,50.77,51.080002,150300
2018-01-19,51.66,52.199001,51.284,52.099998,91500
2018-01-22,52,52,50.549999,51.549999,130400
2018-01-23,51.560001,51.674999,50.5,51.040001,94300
2018-01-24,50.599998,52.319,50.599998,51.799999,116900
2018-01-25,52.419998,54.09,52.150002,54.060001,183400
2018-01-26,54.779999,56.200001,53.701,56.189999,170000
2018-01-29,56.25,57.589001,55.880001,56.470001,231500
2018-01-30,55.099998,55.66,53.810001,55.16,264900
2018-01-31,58,58,55.188999,55.560001,214200
2018-02-01,55.41,57.900002,55.009998,56.470001,196400
2018-02-02,55.540001,55.569,52.849998,52.91,209800
2018-02-05,51.330002,52.617001,42.619999,45.119999,449600
2018-02-06,41.900002,46.591999,40.830002,46.169998,268100
2018-02-07,46.48,49.73,46.356998,48.240002,334600
2018-02-08,49.639999,49.709999,43.27,43.27,221900
2018-02-09,45.599998,46.43,41.93,45.360001,236500
2018-02-12,47.43,48.389999,45.134998,47.450001,201500
2018-02-13,47.049999,48.439999,46.450001,47.990002,154400
2018-02-14,47.310001,50.48,47.009998,50.369999,209300
2018-02-15,51.599998,53.84,51.291,53.84,278100
2018-02-16,54,55.178001,53.348,54.150002,259600
2018-02-20,53,54.59,52.200001,52.740002,166000
2018-02-21,52.849998,55.380001,52.740002,52.869999,202900
2018-02-22,54.560001,54.560001,53,53.209999,102900
2018-02-23,54.400002,54.400002,52.650002,54.299999,119900
2018-02-26,55.09,56.188999,54.589001,55.853001,221300
2018-02-27,56.16,57,54.209999,54.209999,161400
2018-02-28,55.490002,56.819,53.928001,53.970001,173100
2018-03-01,53.970001,54.166,49.610001,50.529999,380300
2018-03-02,49,51.564999,48.101002,51.240002,201200
2018-03-05,50.32,52.860001,49.32,52.439999,143400
2018-03-06,54.060001,54.060001,51.132999,52.080002,144700
2018-03-07,49.709999,52.950001,49.709999,52.720001,102300
2018-03-08,53.09,53.349998,51.869999,53.169998,106800
2018-03-09,54.5,55.509998,53.139999,55.509998,159500
2018-03-12,55.990002,55.990002,52.397999,52.709999,190600
2018-03-13,53.049999,53.987999,51.77,52.240002,125900
2018-03-14,52.73,52.93,49.161999,50.509998,196400
2018-03-15,51.610001,51.610001,49.25,50.419998,75300
2018-03-16,50.630001,50.700001,49.68,50.009998,57900
2018-03-19,49.220001,50.522999,48.759998,50.290001,102800
2018-03-20,50.889999,52.265999,50.546001,51.48,99100
2018-03-21,51.599998,53.07,50.779999,51.799999,73500
2018-03-22,51.099998,51.099998,47.060001,47.290001,141200
2018-03-23,47.209999,50.729,47.009998,47.630001,264200
2018-03-26,50.860001,51.380001,49.018002,51.27,185100
2018-03-27,52.18,52.490002,48,48.959999,172700
2018-03-28,48.799999,49.444,46.779999,47.630001,124800
2018-03-29,47.66,50.644001,47.66,49.759998,100000
2018-04-02,49.5,49.669998,45.633999,47.369999,151400
2018-04-03,47.84,49.279999,47.41,49.259998,88600
2018-04-04,45.25,50.169998,45.099998,50,103300
2018-04-05,50.5,52.5,50.490002,52.34,143600
2018-04-06,51.16,51.549999,47.414001,48.540001,175500
2018-04-09,49.299999,50.080002,47.860001,48.110001,122200
2018-04-10,50.130001,50.443001,48.740002,49.471001,64700
2018-04-11,48.849998,50.939999,48.849998,49.59,78100
2018-04-12,50.290001,51.879002,50.290001,51.380001,110600
2018-04-13,52,52,49.959999,50.59,83400
2018-04-16,51.380001,52.43,51.313,52.220001,82300
2018-04-17,52.98,54.380001,52.855,53.779999,146900
2018-04-18,54.700001,55.560001,54.330002,55.139999,116800
2018-04-19,54.52,56.049999,54.5,55.48,96300
2018-04-20,55.459999,55.534,53.990002,54.57,74600
2018-04-23,54.709999,55.200001,53.990002,54.686001,55700
2018-04-24,55.650002,56.599998,48.43,50.919998,222700
2018-04-25,50.689999,51.140999,46.849998,49.470001,171900
2018-04-26,49.720001,50.610001,47.98,49.299999,86700
2018-04-27,49,49,46.799999,47.25,140400
2018-04-30,47.240002,47.459999,45.150002,45.150002,105900
2018-05-01,45,45,40.82,42.639999,220200
2018-05-02,42.25,43.669998,41.84,41.939999,123200
2018-05-03,41.02,42.689999,39.880001,42.029999,145600
2018-05-04,41.139999,43.799999,41.139999,43.450001,124800
2018-05-07,43.509998,45.349998,43.509998,45.27,93500
2018-05-08,45.5,47.314999,45.490002,47.299999,184200
2018-05-09,48,49.169998,47.75,48.740002,144500
2018-05-10,49,49.537998,48.491001,48.900002,123600
2018-05-11,49.490002,49.639999,48.793999,49.200001,87400
2018-05-14,49.34,49.666,48.040001,48.34,110300
2018-05-15,47.759998,48.07,47.150002,47.580002,76400
2018-05-16,47.189999,48.307999,47.189999,47.599998,43000
2018-05-17,47.650002,48.900002,47.326,48.59,77600
2018-05-18,48.09,49.900002,48.09,49.639999,53400
2018-05-21,50.759998,52.115002,50.759998,51.889999,149200
2018-05-22,51.990002,51.990002,49.630001,49.700001,90400
2018-05-23,49.25,50.91,48.349998,50.91,56300
2018-05-24,50.220001,51.919998,49.799999,51.880001,67300
2018-05-25,51.990002,51.990002,50.630001,51.16,58800
2018-05-29,50,50.66,48.602001,49.25,81400
2018-05-30,49.709999,51.380001,49.363998,51.27,52700
2018-05-31,50.52,51.129002,49.299999,49.400002,41600
2018-06-01,50.419998,51.136002,50.264999,50.740002,50700
2018-06-04,51.369999,51.98,50.939999,51.330002,57300
2018-06-05,51.799999,51.799999,50.650002,51.361,45300
2018-06-06,51.040001,52.785999,51.040001,52.75,61700
2018-06-07,52.849998,53.188999,51.919998,52.720001,59500
2018-06-08,51.689999,53.849998,51.689999,53.849998,41100
2018-06-11,53.990002,54.25,52.84,53.25,41500
2018-06-12,53.02,53.25,51.23,51.689999,88100
2018-06-13,51.27,51.950001,50.639999,50.860001,59000
2018-06-14,50.880001,51.77,49.27,49.68,76600
2018-06-15,48.57,49.220001,47.790001,49.040001,65700
2018-06-18,48.040001,49.306,48.040001,49.200001,40200
2018-06-19,47.59,47.695,45.400002,45.669998,135200
2018-06-20,46.09,46.689999,45.369999,46.259998,69300
2018-06-21,45.900002,45.900002,44.139999,44.790001,78600
2018-06-22,45.389999,45.610001,44.77,45.25,59700
2018-06-25,44.57,44.93,43.25,43.939999,75600
2018-06-26,43.880001,44.838001,43.625999,44.459999,37800
2018-06-27,45.220001,46.401001,43.560001,43.560001,84400
2018-06-28,43.169998,44.700001,42.341,44.195999,81000
2018-06-29,44.259998,46,44.259998,44.5,63500
2018-07-02,43.290001,44.790001,42.720001,44.77,41900
